date,value
1990-01-01,7024.4
1990-02-01,7037.1
1990-03-01,7057.7
1990-04-01,7084.6
1990-05-01,7122.7
1990-06-01,7136.2
1990-07-01,7149.1
1990-08-01,7150.5
1990-09-01,7183.8
1990-10-01,7182.6
1990-11-01,7188.9
1990-12-01,7186.7
1991-01-01,7171.6
1991-02-01,7184.1
1991-03-01,7197.7
1991-04-01,7184.5
1991-05-01,7198.7
1991-06-01,7208.9
1991-07-01,7197.1
1991-08-01,7188.9
1991-09-01,7235.3
1991-10-01,7223.4
1991-11-01,7229.3
1991-12-01,7235.6
1992-01-01,7230.2
1992-02-01,7245.5
1992-03-01,7255.5
1992-04-01,7266.1
1992-05-01,7283.5
1992-06-01,7283.5
1992-07-01,7311.6
1992-08-01,7309.0
1992-09-01,7315.2
1992-10-01,7354.6
1992-11-01,7367.5
1992-12-01,7376.3
1993-01-01,7407.2
1993-02-01,7435.6
1993-03-01,7447.4
1993-04-01,7458.7
1993-05-01,7474.2
1993-06-01,7493.7
1993-07-01,7543.3
1993-08-01,7554.4
1993-09-01,7570.9
1993-10-01,7580.2
1993-11-01,7587.9
1993-12-01,7617.8
1994-01-01,7639.2
1994-02-01,7643.7
1994-03-01,7673.5
1994-04-01,7725.0
1994-05-01,7734.6
1994-06-01,7756.4
1994-07-01,7829.4
1994-08-01,7835.8
1994-09-01,7851.7
1994-10-01,7882.3
1994-11-01,7916.9
1994-12-01,7945.5
1995-01-01,7955.4
1995-02-01,7979.9
1995-03-01,7998.2
1995-04-01,8008.0
1995-05-01,8023.2
1995-06-01,8042.6
1995-07-01,8070.9
1995-08-01,8082.2
1995-09-01,8111.0
1995-10-01,8120.2
1995-11-01,8139.8
1995-12-01,8172.9
1996-01-01,8170.0
1996-02-01,8180.6
1996-03-01,8198.5
1996-04-01,8235.2
1996-05-01,8257.5
1996-06-01,8263.8
1996-07-01,8310.5
1996-08-01,8317.0
1996-09-01,8333.2
1996-10-01,8389.2
1996-11-01,8418.9
1996-12-01,8430.0
1997-01-01,8461.2
1997-02-01,8502.6
1997-03-01,8535.3
1997-04-01,8569.9
1997-05-01,8601.7
1997-06-01,8630.5
1997-07-01,8667.7
1997-08-01,8685.9
1997-09-01,8733.6
1997-10-01,8746.0
1997-11-01,8782.8
1997-12-01,8801.7
1998-01-01,8840.0
1998-02-01,8868.0
1998-03-01,8885.5
1998-04-01,8908.8
1998-05-01,8941.8
1998-06-01,8953.2
1998-07-01,8970.3
1998-08-01,9002.2
1998-09-01,9045.4
1998-10-01,9057.2
1998-11-01,9084.3
1998-12-01,9114.3
1999-01-01,9100.6
1999-02-01,9122.4
1999-03-01,9141.1
1999-04-01,9133.2
1999-05-01,9144.4
1999-06-01,9167.8
1999-07-01,9172.1
1999-08-01,9198.9
1999-09-01,9232.4
1999-10-01,9258.3
1999-11-01,9279.7
1999-12-01,9314.8
2000-01-01,9341.1
2000-02-01,9362.4
2000-03-01,9395.3
2000-04-01,9404.1
2000-05-01,9448.5
2000-06-01,9464.0
2000-07-01,9468.5
2000-08-01,9498.3
2000-09-01,9520.7
2000-10-01,9526.6
2000-11-01,9541.2
2000-12-01,9568.1
2001-01-01,9571.2
2001-02-01,9580.3
2001-03-01,9585.8
2001-04-01,9579.4
2001-05-01,9575.0
2001-06-01,9575.9
2001-07-01,9546.5
2001-08-01,9552.1
2001-09-01,9537.2
2001-10-01,9495.4
2001-11-01,9476.8
2001-12-01,9458.5
2002-01-01,9455.3
2002-02-01,9447.4
2002-03-01,9452.6
2002-04-01,9450.9
2002-05-01,9461.1
2002-06-01,9451.0
2002-07-01,9437.9
2002-08-01,9446.5
2002-09-01,9454.3
2002-10-01,9436.2
2002-11-01,9438.8
2002-12-01,9428.9
2003-01-01,9426.4
2003-02-01,9415.7
2003-03-01,9398.0
2003-04-01,9398.6
2003-05-01,9392.3
2003-06-01,9380.5
2003-07-01,9375.4
2003-08-01,9386.1
2003-09-01,9399.7
2003-10-01,9404.2
2003-11-01,9415.2
2003-12-01,9420.6
2004-01-01,9450.8
2004-02-01,9460.1
2004-03-01,9470.6
2004-04-01,9492.6
2004-05-01,9499.7
2004-06-01,9509.3
2004-07-01,9531.9
2004-08-01,9552.8
2004-09-01,9546.1
2004-10-01,9593.0
2004-11-01,9600.2
2004-12-01,9614.4
2005-01-01,9642.0
2005-02-01,9653.4
2005-03-01,9670.8
2005-04-01,9713.5
2005-05-01,9724.6
2005-06-01,9733.2
2005-07-01,9796.0
2005-08-01,9813.1
2005-09-01,9839.8
2005-10-01,9854.1
2005-11-01,9901.7
2005-12-01,9921.4
2006-01-01,9961.3
2006-02-01,9981.9
2006-03-01,10017.3
2006-04-01,10032.0
2006-05-01,10057.3
2006-06-01,10086.9
2006-07-01,10093.0
2006-08-01,10138.4
2006-09-01,10172.2
2006-10-01,10183.3
2006-11-01,10211.4
2006-12-01,10246.7
2007-01-01,10265.9
2007-02-01,10303.6
2007-03-01,10345.4
2007-04-01,10371.3
2007-05-01,10396.0
2007-06-01,10433.4
2007-07-01,10453.8
2007-08-01,10469.0
2007-09-01,10490.0
2007-10-01,10518.7
2007-11-01,10541.8
2007-12-01,10564.4
2008-01-01,10598.0
2008-02-01,10629.4
2008-03-01,10620.0
2008-04-01,10645.9
2008-05-01,10653.2
2008-06-01,10659.9
2008-07-01,10676.2
2008-08-01,10677.5
2008-09-01,10646.9
2008-10-01,10653.4
2008-11-01,10644.8
2008-12-01,10616.9
2009-01-01,10561.9
2009-02-01,10498.8
2009-03-01,10439.3
2009-04-01,10375.6
2009-05-01,10352.5
2009-06-01,10321.7
2009-07-01,10290.7
2009-08-01,10265.3
2009-09-01,10255.0
2009-10-01,10248.4
2009-11-01,10248.6
2009-12-01,10247.2
2010-01-01,10274.9
2010-02-01,10277.6
2010-03-01,10311.1
2010-04-01,10333.1
2010-05-01,10392.3
2010-06-01,10391.8
2010-07-01,10379.4
2010-08-01,10393.1
2010-09-01,10395.8
