date,value
1990-01-01,712.4
1990-02-01,712.8
1990-03-01,715.6
1990-04-01,720.7
1990-05-01,721.8
1990-06-01,724.5
1990-07-01,726.0
1990-08-01,728.8
1990-09-01,732.7
1990-10-01,735.2
1990-11-01,736.8
1990-12-01,738.4
1991-01-01,740.0
1991-02-01,742.5
1991-03-01,744.2
1991-04-01,742.9
1991-05-01,744.5
1991-06-01,747.6
1991-07-01,749.6
1991-08-01,751.7
1991-09-01,752.6
1991-10-01,753.6
1991-11-01,755.0
1991-12-01,754.6
1992-01-01,758.7
1992-02-01,761.4
1992-03-01,763.1
1992-04-01,764.0
1992-05-01,768.5
1992-06-01,768.3
1992-07-01,771.3
1992-08-01,774.7
1992-09-01,775.6
1992-10-01,779.9
1992-11-01,783.2
1992-12-01,784.7
1993-01-01,790.2
1993-02-01,793.3
1993-03-01,797.7
1993-04-01,802.1
1993-05-01,805.5
1993-06-01,811.0
1993-07-01,814.9
1993-08-01,818.8
1993-09-01,821.4
1993-10-01,828.8
1993-11-01,830.4
1993-12-01,835.3
1994-01-01,840.0
1994-02-01,842.9
1994-03-01,847.5
1994-04-01,850.2
1994-05-01,856.4
1994-06-01,860.5
1994-07-01,865.8
1994-08-01,868.8
1994-09-01,873.4
1994-10-01,876.7
1994-11-01,881.0
1994-12-01,885.9
1995-01-01,887.3
1995-02-01,892.7
1995-03-01,897.5
1995-04-01,899.9
1995-05-01,901.8
1995-06-01,905.8
1995-07-01,909.9
1995-08-01,914.9
1995-09-01,921.9
1995-10-01,924.0
1995-11-01,926.7
1995-12-01,932.0
1996-01-01,937.0
1996-02-01,939.9
1996-03-01,942.0
1996-04-01,945.7
1996-05-01,949.9
1996-06-01,954.6
1996-07-01,957.5
1996-08-01,961.7
1996-09-01,963.9
1996-10-01,967.2
1996-11-01,972.2
1996-12-01,974.8
1997-01-01,976.5
1997-02-01,981.8
1997-03-01,986.2
1997-04-01,987.4
1997-05-01,991.9
1997-06-01,992.8
1997-07-01,997.4
1997-08-01,997.1
1997-09-01,1000.2
1997-10-01,1003.8
1997-11-01,1007.2
1997-12-01,1008.7
1998-01-01,1008.3
1998-02-01,1013.3
1998-03-01,1014.6
1998-04-01,1015.1
1998-05-01,1020.6
1998-06-01,1022.9
1998-07-01,1026.2
1998-08-01,1028.8
1998-09-01,1030.5
1998-10-01,1031.3
1998-11-01,1033.4
1998-12-01,1033.7
1999-01-01,1032.6
1999-02-01,1037.0
1999-03-01,1040.1
1999-04-01,1043.7
1999-05-01,1044.8
1999-06-01,1048.5
1999-07-01,1049.9
1999-08-01,1052.1
1999-09-01,1054.7
1999-10-01,1057.2
1999-11-01,1059.6
1999-12-01,1062.9
2000-01-01,1060.3
2000-02-01,1065.0
2000-03-01,1069.0
2000-04-01,1072.3
2000-05-01,1074.5
2000-06-01,1075.9
2000-07-01,1076.6
2000-08-01,1077.7
2000-09-01,1080.7
2000-10-01,1083.2
2000-11-01,1083.7
2000-12-01,1087.1
2001-01-01,1084.3
2001-02-01,1084.7
2001-03-01,1086.7
2001-04-01,1084.3
2001-05-01,1084.8
2001-06-01,1083.6
2001-07-01,1082.3
2001-08-01,1082.0
2001-09-01,1081.1
2001-10-01,1077.0
2001-11-01,1074.2
2001-12-01,1071.1
2002-01-01,1077.6
2002-02-01,1081.6
2002-03-01,1072.9
2002-04-01,1074.2
2002-05-01,1070.9
2002-06-01,1070.1
2002-07-01,1072.9
2002-08-01,1070.4
2002-09-01,1071.8
2002-10-01,1073.0
2002-11-01,1073.4
2002-12-01,1072.0
2003-01-01,1072.8
2003-02-01,1071.4
2003-03-01,1069.5
2003-04-01,1069.8
2003-05-01,1068.5
2003-06-01,1069.8
2003-07-01,1072.4
2003-08-01,1074.1
2003-09-01,1075.5
2003-10-01,1079.6
2003-11-01,1082.3
2003-12-01,1083.8
2004-01-01,1086.7
2004-02-01,1090.2
2004-03-01,1093.2
2004-04-01,1098.0
2004-05-01,1100.3
2004-06-01,1103.8
2004-07-01,1105.6
2004-08-01,1107.2
2004-09-01,1109.7
2004-10-01,1115.5
2004-11-01,1120.6
2004-12-01,1122.5
2005-01-01,1125.4
2005-02-01,1130.4
2005-03-01,1133.2
2005-04-01,1137.4
2005-05-01,1140.2
2005-06-01,1142.3
2005-07-01,1150.9
2005-08-01,1156.4
2005-09-01,1160.2
2005-10-01,1162.3
2005-11-01,1167.9
2005-12-01,1171.5
2006-01-01,1177.7
2006-02-01,1183.6
2006-03-01,1188.9
2006-04-01,1193.1
2006-05-01,1197.4
2006-06-01,1204.2
2006-07-01,1207.2
2006-08-01,1212.1
2006-09-01,1214.3
2006-10-01,1215.0
2006-11-01,1223.1
2006-12-01,1228.0
2007-01-01,1234.2
2007-02-01,1239.0
2007-03-01,1244.8
2007-04-01,1247.1
2007-05-01,1251.6
2007-06-01,1255.5
2007-07-01,1256.6
2007-08-01,1258.8
2007-09-01,1258.1
2007-10-01,1261.5
2007-11-01,1264.2
2007-12-01,1265.4
2008-01-01,1259.7
2008-02-01,1260.3
2008-03-01,1259.4
2008-04-01,1259.5
2008-05-01,1256.9
2008-06-01,1256.2
2008-07-01,1255.1
2008-08-01,1255.6
2008-09-01,1252.4
2008-10-01,1244.3
2008-11-01,1237.8
2008-12-01,1230.9
2009-01-01,1218.4
2009-02-01,1210.6
2009-03-01,1202.4
2009-04-01,1191.8
2009-05-01,1189.4
2009-06-01,1185.7
2009-07-01,1179.9
2009-08-01,1179.0
2009-09-01,1179.3
2009-10-01,1176.5
2009-11-01,1175.8
2009-12-01,1174.3
2010-01-01,1174.7
2010-02-01,1173.2
2010-03-01,1175.8
2010-04-01,1179.0
2010-05-01,1182.7
2010-06-01,1182.8
2010-07-01,1184.2
2010-08-01,1184.2
2010-09-01,1184.2
2010-10-01,1187.9
2010-11-01,1189.5
2010-12-01,1191.5
2011-01-01,1193.0
2011-02-01,1195.4
2011-03-01,1197.7
2011-04-01,1202.0
2011-05-01,1201.9
