date,value
1990-01-01,2902.3
1990-02-01,2908.3
1990-03-01,2911.6
1990-04-01,2907.0
1990-05-01,2907.0
1990-06-01,2902.1
1990-07-01,2898.7
1990-08-01,2897.5
1990-09-01,2894.4
1990-10-01,2877.0
1990-11-01,2871.0
1990-12-01,2868.0
1991-01-01,2857.2
1991-02-01,2838.4
1991-03-01,2835.1
1991-04-01,2829.0
1991-05-01,2828.6
1991-06-01,2830.2
1991-07-01,2818.6
1991-08-01,2822.8
1991-09-01,2824.8
1991-10-01,2825.1
1991-11-01,2824.7
1991-12-01,2827.4
1992-01-01,2831.1
1992-02-01,2833.3
1992-03-01,2832.5
1992-04-01,2834.4
1992-05-01,2840.4
1992-06-01,2837.9
1992-07-01,2850.1
1992-08-01,2852.9
1992-09-01,2854.0
1992-10-01,2865.8
1992-11-01,2872.1
1992-12-01,2874.1
1993-01-01,2885.4
1993-02-01,2899.0
1993-03-01,2888.6
1993-04-01,2898.7
1993-05-01,2910.3
1993-06-01,2914.8
1993-07-01,2923.8
1993-08-01,2928.5
1993-09-01,2933.9
1993-10-01,2946.2
1993-11-01,2949.2
1993-12-01,2955.8
1994-01-01,2957.4
1994-02-01,2956.9
1994-03-01,2971.7
1994-04-01,2984.3
1994-05-01,2992.2
1994-06-01,3000.4
1994-07-01,3011.6
1994-08-01,3021.6
1994-09-01,3028.2
1994-10-01,3031.5
1994-11-01,3039.8
1994-12-01,3047.6
1995-01-01,3059.6
1995-02-01,3057.8
1995-03-01,3064.5
1995-04-01,3064.9
1995-05-01,3064.8
1995-06-01,3071.4
1995-07-01,3071.1
1995-08-01,3073.6
1995-09-01,3077.7
1995-10-01,3080.9
1995-11-01,3084.5
1995-12-01,3093.2
1996-01-01,3077.2
1996-02-01,3100.9
1996-03-01,3111.9
1996-04-01,3116.8
1996-05-01,3123.4
1996-06-01,3131.5
1996-07-01,3142.8
1996-08-01,3150.7
1996-09-01,3156.0
1996-10-01,3171.2
1996-11-01,3181.4
1996-12-01,3184.4
1997-01-01,3200.0
1997-02-01,3208.0
1997-03-01,3215.7
1997-04-01,3216.5
1997-05-01,3223.8
1997-06-01,3227.9
1997-07-01,3234.9
1997-08-01,3235.2
1997-09-01,3245.7
1997-10-01,3257.8
1997-11-01,3264.3
1997-12-01,3273.9
1998-01-01,3268.5
1998-02-01,3279.2
1998-03-01,3281.1
1998-04-01,3291.3
1998-05-01,3309.8
1998-06-01,3315.5
1998-07-01,3324.2
1998-08-01,3335.5
1998-09-01,3352.8
1998-10-01,3348.8
1998-11-01,3360.0
1998-12-01,3370.3
1999-01-01,3370.0
1999-02-01,3386.6
1999-03-01,3385.8
1999-04-01,3395.5
1999-05-01,3398.5
1999-06-01,3410.8
1999-07-01,3409.5
1999-08-01,3419.0
1999-09-01,3427.1
1999-10-01,3444.8
1999-11-01,3452.7
1999-12-01,3461.5
2000-01-01,3473.6
2000-02-01,3481.5
2000-03-01,3496.1
2000-04-01,3501.0
2000-05-01,3512.0
2000-06-01,3516.0
2000-07-01,3520.9
2000-08-01,3525.5
2000-09-01,3538.6
2000-10-01,3549.4
2000-11-01,3557.1
2000-12-01,3559.5
2001-01-01,3533.6
2001-02-01,3534.5
2001-03-01,3537.9
2001-04-01,3529.3
2001-05-01,3529.1
2001-06-01,3528.7
2001-07-01,3530.0
2001-08-01,3525.9
2001-09-01,3516.6
2001-10-01,3501.9
2001-11-01,3497.3
2001-12-01,3494.9
2002-01-01,3495.3
2002-02-01,3498.3
2002-03-01,3498.4
2002-04-01,3501.0
2002-05-01,3502.4
2002-06-01,3500.1
2002-07-01,3498.7
2002-08-01,3499.8
2002-09-01,3498.8
2002-10-01,3498.8
2002-11-01,3498.1
2002-12-01,3496.9
2003-01-01,3494.4
2003-02-01,3490.5
2003-03-01,3488.0
2003-04-01,3487.1
2003-05-01,3493.0
2003-06-01,3491.5
2003-07-01,3498.2
2003-08-01,3502.9
2003-09-01,3507.9
2003-10-01,3520.1
2003-11-01,3529.8
2003-12-01,3529.9
2004-01-01,3539.3
2004-02-01,3555.4
2004-03-01,3561.9
2004-04-01,3570.0
2004-05-01,3577.7
2004-06-01,3581.4
2004-07-01,3596.9
2004-08-01,3600.4
2004-09-01,3603.1
2004-10-01,3617.3
2004-11-01,3623.4
2004-12-01,3631.6
2005-01-01,3632.8
2005-02-01,3640.2
2005-03-01,3639.1
2005-04-01,3652.3
2005-05-01,3656.3
2005-06-01,3659.0
2005-07-01,3675.5
2005-08-01,3682.1
2005-09-01,3695.0
2005-10-01,3688.1
2005-11-01,3695.2
2005-12-01,3700.4
2006-01-01,3715.1
2006-02-01,3720.3
2006-03-01,3727.7
2006-04-01,3725.6
2006-05-01,3730.2
2006-06-01,3737.3
2006-07-01,3736.4
2006-08-01,3739.5
2006-09-01,3736.7
2006-10-01,3738.7
2006-11-01,3743.1
2006-12-01,3750.3
2007-01-01,3763.4
2007-02-01,3762.4
2007-03-01,3769.2
2007-04-01,3768.3
2007-05-01,3770.5
2007-06-01,3774.6
2007-07-01,3774.0
2007-08-01,3772.2
2007-09-01,3774.5
2007-10-01,3772.8
2007-11-01,3777.0
2007-12-01,3779.5
2008-01-01,3787.4
2008-02-01,3792.7
2008-03-01,3783.1
2008-04-01,3788.2
2008-05-01,3783.3
2008-06-01,3779.2
2008-07-01,3780.6
2008-08-01,3777.5
2008-09-01,3769.3
2008-10-01,3759.6
2008-11-01,3745.3
2008-12-01,3731.2
2009-01-01,3704.6
2009-02-01,3690.3
2009-03-01,3672.3
2009-04-01,3653.7
2009-05-01,3656.4
2009-06-01,3653.5
2009-07-01,3640.0
2009-08-01,3639.0
2009-09-01,3627.4
2009-10-01,3628.1
2009-11-01,3628.5
2009-12-01,3624.0
2010-01-01,3618.0
2010-02-01,3599.0
2010-03-01,3618.0
2010-04-01,3639.9
2010-05-01,3660.2
2010-06-01,3656.6
2010-07-01,3663.2
2010-08-01,3658.0
2010-09-01,3652.8
2010-10-01,3662.9
2010-11-01,3665.6
2010-12-01,3665.1
2011-01-01,3678.2
2011-02-01,3682.6
2011-03-01,3685.8
2011-04-01,3687.8
2011-05-01,3684.0
2011-06-01,3684.7
2011-07-01,3692.0
2011-08-01,3689.9
2011-09-01,3712.5
2011-10-01,3707.9
2011-11-01,3712.0
2011-12-01,3711.5
2012-01-01,3725.0
2012-02-01,3729.5
2012-03-01,3736.7
2012-04-01,3728.1
2012-05-01,3724.8
2012-06-01,3727.6
2012-07-01,3719.1
2012-08-01,3732.3
