date,value
1990-01-01,189.7
1990-02-01,189.6
1990-03-01,189.5
1990-04-01,190.2
1990-05-01,190.1
1990-06-01,190.9
1990-07-01,191.0
1990-08-01,191.5
1990-09-01,191.9
1990-10-01,191.4
1990-11-01,191.6
1990-12-01,191.6
1991-01-01,192.0
1991-02-01,192.8
1991-03-01,193.6
1991-04-01,193.6
1991-05-01,194.4
1991-06-01,194.4
1991-07-01,194.5
1991-08-01,194.0
1991-09-01,193.9
1991-10-01,195.4
1991-11-01,195.8
1991-12-01,196.7
1992-01-01,198.8
1992-02-01,199.1
1992-03-01,199.3
1992-04-01,199.3
1992-05-01,199.9
1992-06-01,200.6
1992-07-01,201.7
1992-08-01,203.8
1992-09-01,204.1
1992-10-01,204.9
1992-11-01,204.4
1992-12-01,204.7
1993-01-01,203.0
1993-02-01,204.6
1993-03-01,205.0
1993-04-01,206.4
1993-05-01,207.3
1993-06-01,207.9
1993-07-01,209.7
1993-08-01,209.6
1993-09-01,211.4
1993-10-01,209.4
1993-11-01,210.4
1993-12-01,211.4
1994-01-01,211.7
1994-02-01,211.8
1994-03-01,211.5
1994-04-01,212.2
1994-05-01,213.9
1994-06-01,213.6
1994-07-01,214.0
1994-08-01,214.6
1994-09-01,215.5
1994-10-01,216.2
1994-11-01,217.5
1994-12-01,217.3
1995-01-01,219.5
1995-02-01,220.2
1995-03-01,221.0
1995-04-01,221.0
1995-05-01,220.5
1995-06-01,221.0
1995-07-01,218.6
1995-08-01,221.5
1995-09-01,223.2
1995-10-01,223.8
1995-11-01,224.7
1995-12-01,224.6
1996-01-01,224.6
1996-02-01,223.2
1996-03-01,225.0
1996-04-01,226.2
1996-05-01,227.4
1996-06-01,227.6
1996-07-01,228.9
1996-08-01,229.4
1996-09-01,230.2
1996-10-01,230.9
1996-11-01,231.6
1996-12-01,231.3
1997-01-01,232.4
1997-02-01,234.1
1997-03-01,234.1
1997-04-01,231.8
1997-05-01,233.3
1997-06-01,233.7
1997-07-01,235.4
1997-08-01,235.8
1997-09-01,235.6
1997-10-01,236.3
1997-11-01,238.1
1997-12-01,239.4
1998-01-01,236.6
1998-02-01,237.3
1998-03-01,238.0
1998-04-01,238.5
1998-05-01,240.4
1998-06-01,241.1
1998-07-01,241.6
1998-08-01,243.6
1998-09-01,244.5
1998-10-01,239.9
1998-11-01,241.1
1998-12-01,242.4
1999-01-01,245.8
1999-02-01,246.7
1999-03-01,249.2
1999-04-01,244.5
1999-05-01,243.9
1999-06-01,244.8
1999-07-01,247.2
1999-08-01,247.0
1999-09-01,247.1
1999-10-01,249.5
1999-11-01,249.7
1999-12-01,250.5
2000-01-01,250.4
2000-02-01,251.2
2000-03-01,253.4
2000-04-01,251.4
2000-05-01,251.1
2000-06-01,252.2
2000-07-01,249.6
2000-08-01,250.7
2000-09-01,252.1
2000-10-01,252.2
2000-11-01,253.8
2000-12-01,254.6
2001-01-01,247.5
2001-02-01,248.5
2001-03-01,248.3
2001-04-01,247.9
2001-05-01,249.1
2001-06-01,247.8
2001-07-01,248.2
2001-08-01,248.6
2001-09-01,246.6
2001-10-01,245.4
2001-11-01,244.3
2001-12-01,243.5
2002-01-01,243.7
2002-02-01,242.9
2002-03-01,243.0
2002-04-01,243.8
2002-05-01,245.2
2002-06-01,245.8
2002-07-01,247.1
2002-08-01,247.7
2002-09-01,247.2
2002-10-01,247.0
2002-11-01,247.0
2002-12-01,246.6
2003-01-01,248.5
2003-02-01,247.9
2003-03-01,246.7
2003-04-01,246.5
2003-05-01,247.1
2003-06-01,248.3
2003-07-01,248.6
2003-08-01,249.1
2003-09-01,250.2
2003-10-01,251.1
2003-11-01,252.0
2003-12-01,252.2
2004-01-01,252.3
2004-02-01,252.4
2004-03-01,254.3
2004-04-01,254.1
2004-05-01,254.9
2004-06-01,255.9
2004-07-01,256.0
2004-08-01,255.8
2004-09-01,256.6
2004-10-01,258.5
2004-11-01,258.4
2004-12-01,258.8
2005-01-01,260.6
2005-02-01,258.2
2005-03-01,259.9
2005-04-01,261.2
2005-05-01,262.2
2005-06-01,262.4
2005-07-01,264.5
2005-08-01,264.6
2005-09-01,265.3
2005-10-01,266.0
2005-11-01,268.2
2005-12-01,269.3
2006-01-01,270.5
2006-02-01,270.2
2006-03-01,270.0
2006-04-01,270.3
2006-05-01,271.2
2006-06-01,270.7
2006-07-01,270.9
2006-08-01,272.8
2006-09-01,272.7
2006-10-01,273.2
2006-11-01,273.9
2006-12-01,274.9
2007-01-01,276.3
2007-02-01,278.2
2007-03-01,278.4
2007-04-01,279.0
2007-05-01,280.0
2007-06-01,281.1
2007-07-01,280.7
2007-08-01,281.2
2007-09-01,281.1
2007-10-01,283.0
2007-11-01,283.9
2007-12-01,284.9
2008-01-01,285.7
2008-02-01,285.7
2008-03-01,286.5
2008-04-01,285.6
2008-05-01,285.0
2008-06-01,284.6
2008-07-01,284.7
2008-08-01,283.9
2008-09-01,284.4
2008-10-01,282.1
2008-11-01,279.9
2008-12-01,277.3
2009-01-01,276.1
2009-02-01,274.6
2009-03-01,272.5
2009-04-01,268.4
