date,value
1990-01-01,2122.6
1990-02-01,2124.5
1990-03-01,2131.1
1990-04-01,2141.0
1990-05-01,2144.8
1990-06-01,2150.3
1990-07-01,2155.3
1990-08-01,2165.6
1990-09-01,2161.5
1990-10-01,2153.7
1990-11-01,2159.1
1990-12-01,2160.5
1991-01-01,2165.9
1991-02-01,2165.6
1991-03-01,2169.9
1991-04-01,2173.4
1991-05-01,2179.8
1991-06-01,2178.6
1991-07-01,2186.8
1991-08-01,2187.1
1991-09-01,2191.5
1991-10-01,2196.2
1991-11-01,2196.7
1991-12-01,2199.3
1992-01-01,2211.1
1992-02-01,2215.3
1992-03-01,2218.6
1992-04-01,2219.7
1992-05-01,2224.9
1992-06-01,2227.0
1992-07-01,2224.6
1992-08-01,2231.4
1992-09-01,2234.1
1992-10-01,2238.7
1992-11-01,2238.9
1992-12-01,2245.4
1993-01-01,2236.5
1993-02-01,2245.5
1993-03-01,2248.6
1993-04-01,2254.9
1993-05-01,2259.8
1993-06-01,2267.0
1993-07-01,2277.9
1993-08-01,2276.9
1993-09-01,2284.3
1993-10-01,2278.9
1993-11-01,2281.8
1993-12-01,2289.9
1994-01-01,2292.0
1994-02-01,2297.3
1994-03-01,2294.0
1994-04-01,2302.1
1994-05-01,2306.2
1994-06-01,2307.8
1994-07-01,2313.5
1994-08-01,2325.3
1994-09-01,2334.0
1994-10-01,2333.1
1994-11-01,2343.3
1994-12-01,2348.6
1995-01-01,2348.9
1995-02-01,2354.2
1995-03-01,2361.2
1995-04-01,2360.9
1995-05-01,2360.5
1995-06-01,2367.8
1995-07-01,2354.1
1995-08-01,2366.4
1995-09-01,2374.9
1995-10-01,2351.1
1995-11-01,2356.3
1995-12-01,2379.4
1996-01-01,2390.2
1996-02-01,2393.9
1996-03-01,2404.9
1996-04-01,2410.1
1996-05-01,2417.2
1996-06-01,2423.6
1996-07-01,2432.1
1996-08-01,2441.2
1996-09-01,2449.2
1996-10-01,2462.3
1996-11-01,2470.8
1996-12-01,2480.2
1997-01-01,2484.3
1997-02-01,2496.3
1997-03-01,2504.1
1997-04-01,2515.3
1997-05-01,2527.6
1997-06-01,2542.7
1997-07-01,2543.6
1997-08-01,2544.3
1997-09-01,2553.6
1997-10-01,2565.4
1997-11-01,2575.2
1997-12-01,2588.3
1998-01-01,2581.5
1998-02-01,2594.5
1998-03-01,2596.4
1998-04-01,2604.5
1998-05-01,2617.8
1998-06-01,2623.9
1998-07-01,2625.9
1998-08-01,2630.6
1998-09-01,2636.6
1998-10-01,2641.2
1998-11-01,2647.8
1998-12-01,2655.2
1999-01-01,2652.9
1999-02-01,2656.4
1999-03-01,2664.0
1999-04-01,2659.2
1999-05-01,2662.7
1999-06-01,2669.4
1999-07-01,2682.7
1999-08-01,2689.3
1999-09-01,2689.7
1999-10-01,2703.7
1999-11-01,2706.4
1999-12-01,2716.5
2000-01-01,2723.2
2000-02-01,2719.2
2000-03-01,2744.8
2000-04-01,2734.0
2000-05-01,2747.0
2000-06-01,2745.7
2000-07-01,2741.0
2000-08-01,2756.2
2000-09-01,2753.8
2000-10-01,2758.6
2000-11-01,2761.6
2000-12-01,2769.7
2001-01-01,2759.3
2001-02-01,2754.5
2001-03-01,2754.7
2001-04-01,2749.0
2001-05-01,2745.8
2001-06-01,2739.6
2001-07-01,2734.0
2001-08-01,2729.5
2001-09-01,2721.8
2001-10-01,2713.8
2001-11-01,2701.7
2001-12-01,2694.0
2002-01-01,2690.2
2002-02-01,2681.9
2002-03-01,2675.9
2002-04-01,2678.7
2002-05-01,2681.3
2002-06-01,2680.1
2002-07-01,2697.4
2002-08-01,2696.7
2002-09-01,2696.5
2002-10-01,2699.0
2002-11-01,2699.9
2002-12-01,2697.2
2003-01-01,2704.7
2003-02-01,2701.5
2003-03-01,2692.5
2003-04-01,2695.2
2003-05-01,2697.5
2003-06-01,2697.9
2003-07-01,2700.9
2003-08-01,2701.5
2003-09-01,2703.9
2003-10-01,2707.2
2003-11-01,2708.7
2003-12-01,2714.0
2004-01-01,2708.4
2004-02-01,2713.3
2004-03-01,2722.7
2004-04-01,2728.3
2004-05-01,2732.6
2004-06-01,2740.2
2004-07-01,2741.4
2004-08-01,2746.2
2004-09-01,2745.4
2004-10-01,2762.7
2004-11-01,2766.9
2004-12-01,2772.5
2005-01-01,2778.0
2005-02-01,2779.3
2005-03-01,2789.1
2005-04-01,2797.2
2005-05-01,2804.3
2005-06-01,2804.8
2005-07-01,2818.0
2005-08-01,2824.9
2005-09-01,2817.5
2005-10-01,2836.7
2005-11-01,2846.2
2005-12-01,2857.6
2006-01-01,2864.9
2006-02-01,2870.9
2006-03-01,2876.1
2006-04-01,2880.0
2006-05-01,2886.6
2006-06-01,2898.1
2006-07-01,2893.5
2006-08-01,2904.6
2006-09-01,2911.3
2006-10-01,2912.7
2006-11-01,2917.2
2006-12-01,2925.0
2007-01-01,2931.6
2007-02-01,2946.7
2007-03-01,2951.1
2007-04-01,2957.5
2007-05-01,2963.6
2007-06-01,2971.7
2007-07-01,2973.2
2007-08-01,2977.7
2007-09-01,2979.8
2007-10-01,2984.3
2007-11-01,2995.4
2007-12-01,2998.6
2008-01-01,3004.5
2008-02-01,3009.2
2008-03-01,3008.9
2008-04-01,3007.1
2008-05-01,3005.8
2008-06-01,3005.4
2008-07-01,3007.7
2008-08-01,3009.2
2008-09-01,2999.4
2008-10-01,2965.2
2008-11-01,2971.4
2008-12-01,2951.0
2009-01-01,2938.7
2009-02-01,2918.2
2009-03-01,2896.9
2009-04-01,2873.9
2009-05-01,2871.3
2009-06-01,2860.7
2009-07-01,2847.1
2009-08-01,2842.0
2009-09-01,2838.3
2009-10-01,2835.1
2009-11-01,2828.5
2009-12-01,2825.2
2010-01-01,2825.2
2010-02-01,2821.1
2010-03-01,2825.9
2010-04-01,2831.6
2010-05-01,2841.2
2010-06-01,2838.8
2010-07-01,2834.4
2010-08-01,2833.3
2010-09-01,2832.2
2010-10-01,2846.8
2010-11-01,2847.1
2010-12-01,2849.2
2011-01-01,2856.0
2011-02-01,2856.6
2011-03-01,2856.6
2011-04-01,2866.6
2011-05-01,2867.5
2011-06-01,2866.8
2011-07-01,2877.5
2011-08-01,2880.7
2011-09-01,2881.5
2011-10-01,2880.8
2011-11-01,2886.5
2011-12-01,2886.2
2012-01-01,2888.2
2012-02-01,2892.2
2012-03-01,2900.9
2012-04-01,2907.2
2012-05-01,2913.5
2012-06-01,2918.8
2012-07-01,2920.5
2012-08-01,2925.1
2012-09-01,2929.1
2012-10-01,2942.1
2012-11-01,2945.7
2012-12-01,2947.7
2013-01-01,2954.1
2013-02-01,2962.3
2013-03-01,2963.6
2013-04-01,2969.2
2013-05-01,2976.1
2013-06-01,2978.8
2013-07-01,2980.2
2013-08-01,2990.2
2013-09-01,2996.3
2013-10-01,3007.0
2013-11-01,3011.1
2013-12-01,3017.6
2014-01-01,3030.7
2014-02-01,3028.7
2014-03-01,3035.6
2014-04-01,3035.6
2014-05-01,3036.9
2014-06-01,3046.4
2014-07-01,3059.6
2014-08-01,3068.5
2014-09-01,3076.8
2014-10-01,3078.0
2014-11-01,3086.8
2014-12-01,3100.8
2015-01-01,3104.0
2015-02-01,3109.9
2015-03-01,3120.4
2015-04-01,3122.5
2015-05-01,3132.1
2015-06-01,3146.0
2015-07-01,3148.2
2015-08-01,3156.8
2015-09-01,3164.4
2015-10-01,3168.0
2015-11-01,3174.5
2015-12-01,3183.4
2016-01-01,3193.4
2016-02-01,3205.9
2016-03-01,3213.2
2016-04-01,3224.5
2016-05-01,3233.3
2016-06-01,3235.5
2016-07-01,3247.7
2016-08-01,3254.3
2016-09-01,3265.0
2016-10-01,3264.9
2016-11-01,3274.6
2016-12-01,3278.9
2017-01-01,3279.8
2017-02-01,3290.0
2017-03-01,3299.2
2017-04-01,3306.8
2017-05-01,3313.5
2017-06-01,3323.6
2017-07-01,3327.2
2017-08-01,3327.2
2017-09-01,3333.7
2017-10-01,3340.6
2017-11-01,3346.3
2017-12-01,3357.5
2018-01-01,3372.2
2018-02-01,3382.2
2018-03-01,3388.6
2018-04-01,3385.9
2018-05-01,3394.1
2018-06-01,3399.8
2018-07-01,3398.6
2018-08-01,3404.3
2018-09-01,3411.2
2018-10-01,3421.3
2018-11-01,3425.6
2018-12-01,3427.2
2019-01-01,3442.4
2019-02-01,3422.9
2019-03-01,3444.5
2019-04-01,3457.0
2019-05-01,3464.9
2019-06-01,3469.7
2019-07-01,3475.8
2019-08-01,3478.2
2019-09-01,3480.1
2019-10-01,3485.2
2019-11-01,3490.6
2019-12-01,3502.5
2020-01-01,3507.1
2020-02-01,3512.9
2020-03-01,3491.3
2020-04-01,3096.9
2020-05-01,3086.6
2020-06-01,3166.5
2020-07-01,3210.2
2020-08-01,3242.7
2020-09-01,3261.3
2020-10-01,3269.5
2020-11-01,3277.6
2020-12-01,3258.7
2021-01-01,3261.7
2021-02-01,3284.4
2021-03-01,3308.6
2021-04-01,3329.4
2021-05-01,3342.2
2021-06-01,3351.9
2021-07-01,3381.0
2021-08-01,3396.8
2021-09-01,3411.9
2021-10-01,3446.9
2021-11-01,3456.0
2021-12-01,3463.2
2022-01-01,3460.0
2022-02-01,3492.1
2022-03-01,3500.8
2022-04-01,3504.5
2022-05-01,3509.9
2022-06-01,3508.0
2022-07-01,3542.7
2022-08-01,3555.2
2022-09-01,3553.5
2022-10-01,3560.7
2022-11-01,3559.5
2022-12-01,3559.0
2023-01-01,3581.6
2023-02-01,3588.1
2023-03-01,3584.5
2023-04-01,3588.2
2023-05-01,3591.1
2023-06-01,3600.6
2023-07-01,3588.8
2023-08-01,3591.4
2023-09-01,3593.8
2023-10-01,3592.1
2023-11-01,3596.7
2023-12-01,3601.3
2024-01-01,3597.2
2024-02-01,3609.6
2024-03-01,3613.5
2024-04-01,3611.6
2024-05-01,3616.8
2024-06-01,3616.8
2024-07-01,3621.5
2024-08-01,3623.5
2024-09-01,3635.4
2024-10-01,3597.4
2024-11-01,3627.8
2024-12-01,3635.5
2025-01-01,3635.9
2025-02-01,3631.1
2025-03-01,3628.9
2025-04-01,3638.2
2025-05-01,3644.8
2025-06-01,3642.0
2025-07-01,3635.3
2025-08-01,3631.8
2025-09-01,3630.1
2025-10-01,3633.6
2025-11-01,3635.6
2025-12-01,3639.3
2026-01-01,3639.3
2026-02-01,3637.2
2026-03-01,3639.1
2026-04-01,3639.4
2026-05-01,3645.0
2026-06-01,3640.9
2026-07-01,3652.5
