date,value
1990-01-01,195.9
1990-02-01,196.9
1990-03-01,197.0
1990-04-01,198.5
1990-05-01,198.8
1990-06-01,199.8
1990-07-01,200.8
1990-08-01,200.5
1990-09-01,201.5
1990-10-01,200.3
1990-11-01,200.5
1990-12-01,200.3
1991-01-01,200.1
1991-02-01,199.7
1991-03-01,201.3
1991-04-01,200.9
1991-05-01,200.1
1991-06-01,200.9
1991-07-01,201.2
1991-08-01,201.7
1991-09-01,201.0
1991-10-01,200.5
1991-11-01,200.9
1991-12-01,199.7
1992-01-01,201.5
1992-02-01,201.9
1992-03-01,202.0
1992-04-01,206.3
1992-05-01,207.2
1992-06-01,205.3
1992-07-01,204.7
1992-08-01,204.7
1992-09-01,205.3
1992-10-01,206.0
1992-11-01,206.3
1992-12-01,207.0
1993-01-01,207.8
1993-02-01,207.8
1993-03-01,208.5
1993-04-01,207.0
1993-05-01,208.5
1993-06-01,208.4
1993-07-01,207.9
1993-08-01,209.6
1993-09-01,209.4
1993-10-01,211.2
1993-11-01,211.7
1993-12-01,212.4
1994-01-01,211.9
1994-02-01,212.4
1994-03-01,212.5
1994-04-01,211.8
1994-05-01,213.0
1994-06-01,212.8
1994-07-01,215.1
1994-08-01,214.0
1994-09-01,216.7
1994-10-01,215.5
1994-11-01,216.3
1994-12-01,217.1
1995-01-01,214.7
1995-02-01,216.3
1995-03-01,218.5
1995-04-01,217.7
1995-05-01,216.4
1995-06-01,218.7
1995-07-01,218.2
1995-08-01,219.5
1995-09-01,218.4
1995-10-01,219.0
1995-11-01,219.1
1995-12-01,218.8
1996-01-01,219.9
1996-02-01,220.1
1996-03-01,221.0
1996-04-01,220.3
1996-05-01,220.6
1996-06-01,221.3
1996-07-01,221.0
1996-08-01,222.4
1996-09-01,222.5
1996-10-01,222.1
1996-11-01,222.4
1996-12-01,223.5
1997-01-01,223.0
1997-02-01,222.9
1997-03-01,222.5
1997-04-01,224.3
1997-05-01,224.8
1997-06-01,224.6
1997-07-01,225.1
1997-08-01,225.4
1997-09-01,226.4
1997-10-01,228.0
1997-11-01,228.8
1997-12-01,229.5
1998-01-01,226.0
1998-02-01,227.3
1998-03-01,224.7
1998-04-01,226.1
1998-05-01,227.7
1998-06-01,227.2
1998-07-01,227.6
1998-08-01,227.6
1998-09-01,228.0
1998-10-01,227.3
1998-11-01,227.6
1998-12-01,228.4
1999-01-01,228.8
1999-02-01,230.4
1999-03-01,231.1
1999-04-01,232.4
1999-05-01,232.3
1999-06-01,233.6
1999-07-01,233.2
1999-08-01,232.7
1999-09-01,233.4
1999-10-01,233.5
1999-11-01,233.9
1999-12-01,234.1
2000-01-01,233.9
2000-02-01,235.0
2000-03-01,236.9
2000-04-01,236.8
2000-05-01,235.9
2000-06-01,236.7
2000-07-01,237.1
2000-08-01,238.9
2000-09-01,238.1
2000-10-01,237.2
2000-11-01,237.9
2000-12-01,236.7
2001-01-01,237.7
2001-02-01,238.4
2001-03-01,238.2
2001-04-01,240.7
2001-05-01,240.3
2001-06-01,239.9
2001-07-01,240.0
2001-08-01,239.5
2001-09-01,237.9
2001-10-01,237.9
2001-11-01,237.5
2001-12-01,234.9
2002-01-01,239.2
2002-02-01,239.0
2002-03-01,237.8
2002-04-01,238.2
2002-05-01,238.5
2002-06-01,239.6
2002-07-01,241.0
2002-08-01,241.8
2002-09-01,241.7
2002-10-01,242.4
2002-11-01,241.8
2002-12-01,242.8
2003-01-01,244.4
2003-02-01,242.7
2003-03-01,242.5
2003-04-01,242.9
2003-05-01,244.8
2003-06-01,245.4
2003-07-01,244.3
2003-08-01,244.8
2003-09-01,246.9
2003-10-01,247.6
2003-11-01,249.0
2003-12-01,248.8
2004-01-01,249.4
2004-02-01,248.4
2004-03-01,248.7
2004-04-01,249.5
2004-05-01,249.8
2004-06-01,248.9
2004-07-01,252.4
2004-08-01,252.4
2004-09-01,252.2
2004-10-01,253.2
2004-11-01,252.7
2004-12-01,253.2
2005-01-01,252.5
2005-02-01,253.0
2005-03-01,253.9
2005-04-01,257.2
2005-05-01,255.0
2005-06-01,254.5
2005-07-01,255.2
2005-08-01,255.7
2005-09-01,256.4
2005-10-01,255.3
2005-11-01,256.7
2005-12-01,256.3
2006-01-01,258.0
2006-02-01,259.0
2006-03-01,259.8
2006-04-01,259.9
2006-05-01,257.8
2006-06-01,258.6
2006-07-01,259.4
2006-08-01,259.7
2006-09-01,259.6
2006-10-01,260.7
2006-11-01,260.5
2006-12-01,261.4
2007-01-01,262.3
2007-02-01,262.6
2007-03-01,262.7
2007-04-01,261.5
2007-05-01,261.7
2007-06-01,262.4
2007-07-01,261.4
2007-08-01,262.0
2007-09-01,260.3
2007-10-01,262.0
2007-11-01,262.7
2007-12-01,262.3
2008-01-01,261.8
2008-02-01,261.1
2008-03-01,260.9
2008-04-01,260.3
2008-05-01,260.1
2008-06-01,259.5
2008-07-01,259.3
2008-08-01,258.7
2008-09-01,258.1
2008-10-01,258.6
2008-11-01,257.9
2008-12-01,257.0
2009-01-01,254.8
2009-02-01,255.2
2009-03-01,254.2
2009-04-01,252.5
2009-05-01,255.1
2009-06-01,253.9
2009-07-01,252.3
2009-08-01,251.3
2009-09-01,251.6
2009-10-01,250.3
2009-11-01,250.2
2009-12-01,250.0
2010-01-01,250.8
2010-02-01,249.9
2010-03-01,249.7
2010-04-01,251.8
2010-05-01,251.2
2010-06-01,250.5
2010-07-01,251.6
2010-08-01,252.3
2010-09-01,251.8
2010-10-01,252.7
2010-11-01,252.9
2010-12-01,252.8
2011-01-01,252.3
2011-02-01,251.5
2011-03-01,251.0
2011-04-01,251.8
2011-05-01,251.5
2011-06-01,251.9
2011-07-01,252.7
2011-08-01,253.4
2011-09-01,253.4
2011-10-01,253.9
2011-11-01,253.4
2011-12-01,252.9
2012-01-01,254.2
2012-02-01,254.8
2012-03-01,256.8
2012-04-01,258.2
2012-05-01,256.6
2012-06-01,257.6
2012-07-01,257.4
2012-08-01,256.9
2012-09-01,258.2
2012-10-01,257.0
2012-11-01,257.3
2012-12-01,258.3
2013-01-01,258.8
2013-02-01,259.2
2013-03-01,259.3
2013-04-01,257.3
2013-05-01,260.6
2013-06-01,260.5
2013-07-01,261.4
2013-08-01,262.8
2013-09-01,263.4
2013-10-01,263.2
2013-11-01,263.4
2013-12-01,263.7
2014-01-01,263.0
2014-02-01,263.1
2014-03-01,262.5
2014-04-01,262.8
2014-05-01,263.6
2014-06-01,264.6
2014-07-01,263.2
2014-08-01,264.0
2014-09-01,264.3
2014-10-01,264.9
2014-11-01,265.8
2014-12-01,266.7
2015-01-01,267.6
2015-02-01,267.4
2015-03-01,268.8
2015-04-01,269.2
2015-05-01,270.3
2015-06-01,270.4
2015-07-01,270.3
2015-08-01,270.8
2015-09-01,272.0
2015-10-01,273.5
2015-11-01,274.8
2015-12-01,274.9
2016-01-01,273.7
2016-02-01,275.0
2016-03-01,274.4
2016-04-01,275.9
2016-05-01,275.8
2016-06-01,274.8
2016-07-01,276.1
2016-08-01,277.2
2016-09-01,276.9
2016-10-01,277.9
2016-11-01,277.8
2016-12-01,275.5
2017-01-01,278.9
2017-02-01,279.2
2017-03-01,280.5
2017-04-01,279.3
2017-05-01,279.6
2017-06-01,282.9
2017-07-01,281.3
2017-08-01,281.5
2017-09-01,280.3
2017-10-01,280.4
2017-11-01,281.1
2017-12-01,279.3
2018-01-01,282.6
2018-02-01,283.2
2018-03-01,283.6
2018-04-01,279.7
2018-05-01,280.1
2018-06-01,281.5
2018-07-01,281.9
2018-08-01,282.4
2018-09-01,282.2
2018-10-01,283.4
2018-11-01,284.2
2018-12-01,285.3
2019-01-01,284.4
2019-02-01,284.4
2019-03-01,285.1
2019-04-01,285.6
2019-05-01,285.8
2019-06-01,285.7
2019-07-01,285.3
2019-08-01,284.5
2019-09-01,284.0
2019-10-01,286.4
2019-11-01,287.4
2019-12-01,289.3
2020-01-01,289.1
2020-02-01,288.2
2020-03-01,280.3
2020-04-01,141.8
2020-05-01,167.0
2020-06-01,204.8
2020-07-01,216.1
2020-08-01,222.5
2020-09-01,230.5
2020-10-01,233.9
2020-11-01,229.0
2020-12-01,229.0
2021-01-01,232.7
2021-02-01,236.1
2021-03-01,239.4
2021-04-01,244.2
2021-05-01,247.3
2021-06-01,249.4
2021-07-01,253.6
2021-08-01,256.4
2021-09-01,257.6
2021-10-01,260.0
2021-11-01,262.0
2021-12-01,263.8
2022-01-01,263.6
2022-02-01,265.5
2022-03-01,266.8
2022-04-01,267.5
2022-05-01,268.3
2022-06-01,267.2
2022-07-01,270.4
2022-08-01,270.1
2022-09-01,273.1
2022-10-01,274.3
2022-11-01,276.0
2022-12-01,276.3
2023-01-01,280.0
2023-02-01,280.9
2023-03-01,281.6
2023-04-01,283.1
2023-05-01,283.1
2023-06-01,285.8
2023-07-01,285.4
2023-08-01,285.6
2023-09-01,285.0
2023-10-01,285.2
2023-11-01,286.0
2023-12-01,286.4
2024-01-01,285.4
2024-02-01,288.0
2024-03-01,289.3
2024-04-01,289.6
2024-05-01,290.1
2024-06-01,291.0
2024-07-01,290.6
2024-08-01,289.9
2024-09-01,291.0
2024-10-01,291.4
2024-11-01,290.4
2024-12-01,291.0
2025-01-01,290.1
2025-02-01,288.1
2025-03-01,288.7
2025-04-01,288.9
2025-05-01,290.9
2025-06-01,289.6
2025-07-01,290.2
2025-08-01,290.3
2025-09-01,288.3
2025-10-01,288.2
2025-11-01,287.3
2025-12-01,289.3
2026-01-01,290.0
2026-02-01,290.1
2026-03-01,290.9
2026-04-01,296.0
2026-05-01,296.2
2026-06-01,294.8
2026-07-01,292.7
