date,value
1990-01-01,2268.7
1990-02-01,2278.6
1990-03-01,2280.1
1990-04-01,2289.1
1990-05-01,2291.7
1990-06-01,2297.9
1990-07-01,2297.5
1990-08-01,2297.6
1990-09-01,2301.9
1990-10-01,2300.3
1990-11-01,2300.4
1990-12-01,2297.8
1991-01-01,2295.3
1991-02-01,2295.4
1991-03-01,2295.5
1991-04-01,2295.7
1991-05-01,2294.3
1991-06-01,2300.7
1991-07-01,2301.6
1991-08-01,2305.9
1991-09-01,2303.9
1991-10-01,2312.5
1991-11-01,2312.0
1991-12-01,2314.8
1992-01-01,2331.7
1992-02-01,2330.7
1992-03-01,2331.2
1992-04-01,2350.4
1992-05-01,2357.8
1992-06-01,2357.0
1992-07-01,2361.9
1992-08-01,2365.0
1992-09-01,2369.0
1992-10-01,2372.9
1992-11-01,2377.7
1992-12-01,2381.0
1993-01-01,2388.0
1993-02-01,2395.6
1993-03-01,2397.8
1993-04-01,2393.0
1993-05-01,2408.0
1993-06-01,2406.7
1993-07-01,2410.7
1993-08-01,2416.3
1993-09-01,2419.5
1993-10-01,2432.5
1993-11-01,2433.3
1993-12-01,2442.4
1994-01-01,2447.0
1994-02-01,2452.5
1994-03-01,2463.7
1994-04-01,2471.9
1994-05-01,2478.4
1994-06-01,2484.4
1994-07-01,2498.7
1994-08-01,2496.4
1994-09-01,2512.4
1994-10-01,2512.6
1994-11-01,2527.1
1994-12-01,2530.8
1995-01-01,2540.2
1995-02-01,2547.7
1995-03-01,2554.5
1995-04-01,2554.5
1995-05-01,2550.8
1995-06-01,2560.9
1995-07-01,2557.1
1995-08-01,2564.3
1995-09-01,2566.4
1995-10-01,2566.4
1995-11-01,2564.5
1995-12-01,2570.7
1996-01-01,2587.6
1996-02-01,2580.4
1996-03-01,2587.6
1996-04-01,2585.1
1996-05-01,2592.5
1996-06-01,2597.9
1996-07-01,2596.6
1996-08-01,2610.5
1996-09-01,2609.0
1996-10-01,2613.8
1996-11-01,2618.9
1996-12-01,2619.6
1997-01-01,2624.1
1997-02-01,2626.6
1997-03-01,2627.6
1997-04-01,2638.1
1997-05-01,2646.9
1997-06-01,2653.3
1997-07-01,2655.3
1997-08-01,2661.2
1997-09-01,2670.2
1997-10-01,2677.0
1997-11-01,2683.1
1997-12-01,2689.8
1998-01-01,2689.4
1998-02-01,2696.7
1998-03-01,2695.4
1998-04-01,2706.1
1998-05-01,2715.0
1998-06-01,2716.7
1998-07-01,2714.6
1998-08-01,2721.4
1998-09-01,2723.2
1998-10-01,2729.2
1998-11-01,2739.7
1998-12-01,2749.0
1999-01-01,2751.0
1999-02-01,2758.1
1999-03-01,2762.7
1999-04-01,2774.1
1999-05-01,2775.6
1999-06-01,2783.5
1999-07-01,2790.9
1999-08-01,2793.2
1999-09-01,2791.0
1999-10-01,2798.8
1999-11-01,2800.6
1999-12-01,2809.5
2000-01-01,2813.7
2000-02-01,2819.2
2000-03-01,2830.3
2000-04-01,2836.9
2000-05-01,2832.8
2000-06-01,2840.1
2000-07-01,2835.3
2000-08-01,2839.1
2000-09-01,2835.2
2000-10-01,2835.6
2000-11-01,2841.7
2000-12-01,2830.4
2001-01-01,2835.1
2001-02-01,2840.5
2001-03-01,2833.7
2001-04-01,2828.6
2001-05-01,2823.8
2001-06-01,2815.9
2001-07-01,2811.8
2001-08-01,2807.8
2001-09-01,2802.0
2001-10-01,2792.6
2001-11-01,2785.8
2001-12-01,2776.9
2002-01-01,2782.7
2002-02-01,2781.1
2002-03-01,2780.6
2002-04-01,2779.6
2002-05-01,2779.2
2002-06-01,2777.4
2002-07-01,2776.5
2002-08-01,2777.4
2002-09-01,2774.2
2002-10-01,2786.0
2002-11-01,2789.5
2002-12-01,2781.3
2003-01-01,2773.9
2003-02-01,2777.1
2003-03-01,2771.7
2003-04-01,2773.4
2003-05-01,2773.4
2003-06-01,2770.9
2003-07-01,2759.9
2003-08-01,2759.4
2003-09-01,2766.4
2003-10-01,2778.1
2003-11-01,2775.4
2003-12-01,2777.7
2004-01-01,2780.7
2004-02-01,2785.0
2004-03-01,2789.0
2004-04-01,2790.5
2004-05-01,2795.3
2004-06-01,2798.3
2004-07-01,2810.8
2004-08-01,2815.4
2004-09-01,2808.0
2004-10-01,2817.2
2004-11-01,2818.4
2004-12-01,2817.8
2005-01-01,2818.3
2005-02-01,2825.0
2005-03-01,2827.7
2005-04-01,2836.7
2005-05-01,2831.0
2005-06-01,2828.3
2005-07-01,2837.0
2005-08-01,2839.5
2005-09-01,2847.0
2005-10-01,2842.7
2005-11-01,2845.5
2005-12-01,2850.6
2006-01-01,2849.2
2006-02-01,2852.7
2006-03-01,2855.2
2006-04-01,2861.4
2006-05-01,2855.1
2006-06-01,2863.2
2006-07-01,2860.0
2006-08-01,2861.1
2006-09-01,2865.0
2006-10-01,2862.2
2006-11-01,2863.4
2006-12-01,2865.6
2007-01-01,2870.2
2007-02-01,2868.7
2007-03-01,2873.3
2007-04-01,2872.8
2007-05-01,2878.6
2007-06-01,2888.2
2007-07-01,2880.3
2007-08-01,2879.5
2007-09-01,2879.2
2007-10-01,2873.0
2007-11-01,2873.7
2007-12-01,2877.8
2008-01-01,2882.4
2008-02-01,2882.6
2008-03-01,2878.9
2008-04-01,2874.3
2008-05-01,2876.1
2008-06-01,2873.7
2008-07-01,2872.6
2008-08-01,2867.6
2008-09-01,2871.7
2008-10-01,2859.6
2008-11-01,2849.2
2008-12-01,2834.5
2009-01-01,2808.2
2009-02-01,2791.5
2009-03-01,2772.6
2009-04-01,2749.9
2009-05-01,2746.7
2009-06-01,2734.6
2009-07-01,2723.3
2009-08-01,2715.5
2009-09-01,2713.8
2009-10-01,2715.3
2009-11-01,2711.2
2009-12-01,2711.6
2010-01-01,2710.4
2010-02-01,2710.5
2010-03-01,2713.4
2010-04-01,2723.5
2010-05-01,2724.4
2010-06-01,2724.1
2010-07-01,2726.5
2010-08-01,2728.2
2010-09-01,2726.8
2010-10-01,2736.6
2010-11-01,2738.8
2010-12-01,2735.6
2011-01-01,2742.0
2011-02-01,2742.6
2011-03-01,2745.9
2011-04-01,2747.9
2011-05-01,2748.5
2011-06-01,2747.3
2011-07-01,2758.8
2011-08-01,2755.8
2011-09-01,2760.3
2011-10-01,2755.7
2011-11-01,2755.7
2011-12-01,2760.4
2012-01-01,2755.1
2012-02-01,2764.1
2012-03-01,2778.7
2012-04-01,2784.3
2012-05-01,2784.3
2012-06-01,2783.1
2012-07-01,2777.8
2012-08-01,2780.9
2012-09-01,2785.0
2012-10-01,2788.9
2012-11-01,2798.4
2012-12-01,2795.0
2013-01-01,2786.7
2013-02-01,2803.1
2013-03-01,2804.7
2013-04-01,2791.4
2013-05-01,2804.3
2013-06-01,2807.7
2013-07-01,2808.4
2013-08-01,2811.5
2013-09-01,2820.7
2013-10-01,2821.3
2013-11-01,2827.4
2013-12-01,2829.3
2014-01-01,2831.9
2014-02-01,2833.5
2014-03-01,2835.6
2014-04-01,2837.6
2014-05-01,2845.9
2014-06-01,2851.3
2014-07-01,2853.1
2014-08-01,2862.5
2014-09-01,2865.4
2014-10-01,2867.3
2014-11-01,2879.0
2014-12-01,2874.9
2015-01-01,2874.9
2015-02-01,2877.4
2015-03-01,2881.3
2015-04-01,2884.0
2015-05-01,2890.3
2015-06-01,2890.7
2015-07-01,2895.5
2015-08-01,2896.3
2015-09-01,2902.7
2015-10-01,2906.4
2015-11-01,2907.0
2015-12-01,2914.2
2016-01-01,2918.1
2016-02-01,2922.2
2016-03-01,2921.0
2016-04-01,2931.8
2016-05-01,2923.2
2016-06-01,2921.1
2016-07-01,2932.6
2016-08-01,2937.3
2016-09-01,2935.7
2016-10-01,2935.1
2016-11-01,2944.9
2016-12-01,2933.8
2017-01-01,2940.4
2017-02-01,2942.3
2017-03-01,2946.6
2017-04-01,2948.5
2017-05-01,2951.8
2017-06-01,2955.2
2017-07-01,2953.9
2017-08-01,2950.4
2017-09-01,2957.2
2017-10-01,2957.7
