date,value
1990-01-01,606.2
1990-02-01,606.4
1990-03-01,611.1
1990-04-01,611.1
1990-05-01,622.7
1990-06-01,613.5
1990-07-01,613.0
1990-08-01,612.3
1990-09-01,612.0
1990-10-01,610.4
1990-11-01,609.0
1990-12-01,609.7
1991-01-01,610.3
1991-02-01,608.6
1991-03-01,610.3
1991-04-01,608.7
1991-05-01,609.0
1991-06-01,610.9
1991-07-01,609.3
1991-08-01,609.0
1991-09-01,610.4
1991-10-01,609.4
1991-11-01,609.7
1991-12-01,610.1
1992-01-01,613.4
1992-02-01,614.5
1992-03-01,615.2
1992-04-01,616.0
1992-05-01,629.6
1992-06-01,617.2
1992-07-01,619.3
1992-08-01,619.4
1992-09-01,620.4
1992-10-01,623.3
1992-11-01,625.1
1992-12-01,626.4
1993-01-01,627.4
1993-02-01,627.0
1993-03-01,625.3
1993-04-01,629.8
1993-05-01,631.9
1993-06-01,630.8
1993-07-01,632.5
1993-08-01,632.0
1993-09-01,633.6
1993-10-01,636.9
1993-11-01,637.4
1993-12-01,644.9
1994-01-01,636.5
1994-02-01,641.6
1994-03-01,643.9
1994-04-01,649.5
1994-05-01,663.3
1994-06-01,651.7
1994-07-01,653.7
1994-08-01,656.7
1994-09-01,658.7
1994-10-01,656.8
1994-11-01,670.4
1994-12-01,660.2
1995-01-01,660.0
1995-02-01,659.2
1995-03-01,663.3
1995-04-01,665.5
1995-05-01,665.2
1995-06-01,664.5
1995-07-01,666.0
1995-08-01,668.0
1995-09-01,667.4
1995-10-01,667.6
1995-11-01,667.4
1995-12-01,668.1
1996-01-01,664.2
1996-02-01,669.4
1996-03-01,671.2
1996-04-01,669.7
1996-05-01,685.3
1996-06-01,672.9
1996-07-01,674.2
1996-08-01,674.0
1996-09-01,675.6
1996-10-01,674.5
1996-11-01,675.6
1996-12-01,673.9
1997-01-01,676.6
1997-02-01,676.1
1997-03-01,677.4
1997-04-01,676.8
1997-05-01,676.9
1997-06-01,678.8
1997-07-01,678.6
1997-08-01,678.5
1997-09-01,679.8
1997-10-01,682.7
1997-11-01,685.1
1997-12-01,684.8
1998-01-01,684.3
1998-02-01,685.7
1998-03-01,685.2
1998-04-01,685.0
1998-05-01,698.4
1998-06-01,689.6
1998-07-01,689.1
1998-08-01,690.4
1998-09-01,690.7
1998-10-01,692.8
1998-11-01,693.7
1998-12-01,694.1
1999-01-01,691.0
1999-02-01,693.1
1999-03-01,691.3
1999-04-01,694.6
1999-05-01,695.0
1999-06-01,694.5
1999-07-01,693.9
1999-08-01,693.9
1999-09-01,693.3
1999-10-01,698.0
1999-11-01,696.9
1999-12-01,698.9
2000-01-01,698.2
2000-02-01,695.6
2000-03-01,702.4
2000-04-01,701.5
2000-05-01,713.4
2000-06-01,699.6
2000-07-01,702.5
2000-08-01,697.7
2000-09-01,701.6
2000-10-01,702.1
2000-11-01,702.9
2000-12-01,702.4
2001-01-01,702.0
2001-02-01,702.8
2001-03-01,703.9
2001-04-01,702.0
2001-05-01,700.6
2001-06-01,700.9
2001-07-01,700.0
2001-08-01,700.4
2001-09-01,699.0
2001-10-01,700.2
2001-11-01,699.7
2001-12-01,699.2
2002-01-01,698.6
2002-02-01,700.5
2002-03-01,700.6
2002-04-01,698.9
2002-05-01,708.2
2002-06-01,697.7
2002-07-01,699.6
2002-08-01,698.7
2002-09-01,698.0
2002-10-01,696.4
2002-11-01,696.7
2002-12-01,694.8
2003-01-01,695.3
2003-02-01,691.0
2003-03-01,691.7
2003-04-01,693.9
2003-05-01,693.0
2003-06-01,693.4
2003-07-01,694.6
2003-08-01,694.6
2003-09-01,694.5
2003-10-01,695.8
2003-11-01,694.1
2003-12-01,696.1
2004-01-01,697.2
2004-02-01,697.9
2004-03-01,700.7
2004-04-01,702.4
2004-05-01,714.0
2004-06-01,702.6
2004-07-01,703.8
2004-08-01,703.8
2004-09-01,704.5
2004-10-01,707.1
2004-11-01,706.2
2004-12-01,707.0
2005-01-01,708.4
2005-02-01,709.2
2005-03-01,707.9
2005-04-01,710.5
2005-05-01,712.3
2005-06-01,712.6
2005-07-01,714.5
2005-08-01,714.8
2005-09-01,715.6
2005-10-01,713.5
2005-11-01,715.8
2005-12-01,717.8
2006-01-01,721.4
2006-02-01,721.7
2006-03-01,723.5
2006-04-01,721.2
2006-05-01,731.0
2006-06-01,722.4
2006-07-01,718.8
2006-08-01,720.7
2006-09-01,722.1
2006-10-01,722.0
2006-11-01,723.6
2006-12-01,724.1
2007-01-01,723.4
2007-02-01,717.6
2007-03-01,721.9
2007-04-01,721.0
2007-05-01,721.3
2007-06-01,723.5
2007-07-01,722.4
2007-08-01,724.2
2007-09-01,724.7
2007-10-01,724.6
2007-11-01,724.9
2007-12-01,726.4
2008-01-01,728.0
2008-02-01,728.9
2008-03-01,726.2
2008-04-01,726.0
2008-05-01,735.8
2008-06-01,726.2
2008-07-01,728.3
2008-08-01,727.1
2008-09-01,727.7
2008-10-01,727.8
2008-11-01,726.8
2008-12-01,724.9
2009-01-01,721.7
2009-02-01,719.5
2009-03-01,716.1
2009-04-01,711.5
2009-05-01,711.7
2009-06-01,713.5
2009-07-01,708.7
2009-08-01,708.8
2009-09-01,704.9
2009-10-01,704.2
2009-11-01,704.9
2009-12-01,706.8
2010-01-01,705.1
2010-02-01,704.5
2010-03-01,709.6
2010-04-01,709.8
2010-05-01,723.0
2010-06-01,715.2
2010-07-01,716.1
2010-08-01,715.1
2010-09-01,713.0
2010-10-01,715.5
2010-11-01,715.1
2010-12-01,713.4
2011-01-01,712.1
2011-02-01,715.1
2011-03-01,716.0
2011-04-01,719.0
2011-05-01,719.2
2011-06-01,716.2
2011-07-01,718.6
2011-08-01,720.1
2011-09-01,724.7
2011-10-01,725.7
2011-11-01,727.3
2011-12-01,728.9
2012-01-01,730.0
2012-02-01,731.4
2012-03-01,732.6
2012-04-01,731.4
2012-05-01,740.3
2012-06-01,725.2
2012-07-01,725.0
2012-08-01,724.1
2012-09-01,728.9
2012-10-01,728.2
2012-11-01,725.1
2012-12-01,726.4
2013-01-01,728.2
2013-02-01,728.3
2013-03-01,727.8
2013-04-01,726.6
2013-05-01,727.7
2013-06-01,726.3
2013-07-01,726.1
2013-08-01,725.9
2013-09-01,724.2
2013-10-01,724.3
2013-11-01,724.8
2013-12-01,723.9
2014-01-01,722.3
2014-02-01,721.2
2014-03-01,722.4
2014-04-01,724.8
2014-05-01,735.4
2014-06-01,715.9
2014-07-01,719.0
2014-08-01,721.3
2014-09-01,725.4
2014-10-01,727.2
2014-11-01,726.8
2014-12-01,726.7
2015-01-01,725.4
2015-02-01,724.5
2015-03-01,721.7
2015-04-01,722.0
2015-05-01,723.3
2015-06-01,720.5
2015-07-01,719.0
2015-08-01,718.1
2015-09-01,718.2
2015-10-01,718.4
2015-11-01,719.1
2015-12-01,719.4
2016-01-01,714.8
2016-02-01,713.0
2016-03-01,715.5
2016-04-01,714.5
2016-05-01,719.8
2016-06-01,706.5
2016-07-01,707.0
2016-08-01,706.7
2016-09-01,707.9
2016-10-01,707.0
2016-11-01,717.6
2016-12-01,709.1
2017-01-01,710.7
2017-02-01,711.4
2017-03-01,712.1
2017-04-01,709.1
2017-05-01,709.2
2017-06-01,708.0
2017-07-01,709.1
2017-08-01,708.3
2017-09-01,710.2
2017-10-01,711.4
2017-11-01,710.7
2017-12-01,710.7
2018-01-01,713.9
2018-02-01,714.3
2018-03-01,715.0
2018-04-01,716.5
2018-05-01,718.7
2018-06-01,721.7
2018-07-01,723.3
2018-08-01,723.9
2018-09-01,723.9
2018-10-01,725.4
2018-11-01,723.2
2018-12-01,720.6
2019-01-01,718.1
2019-02-01,716.7
2019-03-01,716.1
2019-04-01,718.7
2019-05-01,717.4
2019-06-01,716.7
2019-07-01,716.6
2019-08-01,717.2
2019-09-01,715.5
2019-10-01,714.0
2019-11-01,711.5
2019-12-01,711.4
2020-01-01,715.6
2020-02-01,712.7
2020-03-01,706.7
2020-04-01,610.6
2020-05-01,622.4
2020-06-01,658.7
2020-07-01,656.2
2020-08-01,661.5
2020-09-01,664.7
2020-10-01,670.4
2020-11-01,671.4
2020-12-01,671.2
2021-01-01,668.9
2021-02-01,670.9
2021-03-01,676.6
2021-04-01,676.6
2021-05-01,677.9
2021-06-01,679.1
2021-07-01,685.0
2021-08-01,684.8
2021-09-01,683.5
2021-10-01,689.2
2021-11-01,691.1
2021-12-01,693.7
2022-01-01,692.8
2022-02-01,695.3
2022-03-01,695.6
2022-04-01,696.7
2022-05-01,704.7
2022-06-01,694.0
2022-07-01,697.6
2022-08-01,697.6
2022-09-01,700.3
2022-10-01,699.4
2022-11-01,708.4
2022-12-01,701.9
2023-01-01,706.9
2023-02-01,707.3
2023-03-01,706.1
2023-04-01,706.2
2023-05-01,706.6
2023-06-01,711.8
2023-07-01,707.5
2023-08-01,708.8
2023-09-01,711.7
2023-10-01,712.8
2023-11-01,713.9
2023-12-01,715.9
2024-01-01,716.5
2024-02-01,717.8
2024-03-01,717.8
2024-04-01,719.2
2024-05-01,728.9
2024-06-01,718.4
2024-07-01,717.2
2024-08-01,718.7
2024-09-01,717.8
2024-10-01,717.6
2024-11-01,719.1
2024-12-01,718.0
2025-01-01,713.7
2025-02-01,718.1
2025-03-01,718.3
2025-04-01,717.4
2025-05-01,719.5
2025-06-01,717.3
2025-07-01,718.8
2025-08-01,718.9
2025-09-01,717.4
2025-10-01,717.1
2025-11-01,716.4
2025-12-01,716.3
2026-01-01,716.9
2026-02-01,715.4
2026-03-01,716.3
2026-04-01,717.5
2026-05-01,728.3
2026-06-01,720.8
2026-07-01,720.2
