date,value
1990-01-01,195.7
1990-02-01,196.3
1990-03-01,197.5
1990-04-01,199.5
1990-05-01,197.6
1990-06-01,197.8
1990-07-01,197.7
1990-08-01,198.8
1990-09-01,198.8
1990-10-01,199.3
1990-11-01,201.4
1990-12-01,201.1
1991-01-01,201.3
1991-02-01,202.0
1991-03-01,203.0
1991-04-01,202.9
1991-05-01,203.3
1991-06-01,203.5
1991-07-01,202.6
1991-08-01,203.2
1991-09-01,203.7
1991-10-01,204.7
1991-11-01,203.6
1991-12-01,203.9
1992-01-01,204.7
1992-02-01,205.0
1992-03-01,205.2
1992-04-01,204.4
1992-05-01,205.8
1992-06-01,204.5
1992-07-01,203.7
1992-08-01,206.3
1992-09-01,205.4
1992-10-01,206.5
1992-11-01,209.0
1992-12-01,206.9
1993-01-01,207.9
1993-02-01,207.6
1993-03-01,207.9
1993-04-01,208.5
1993-05-01,209.2
1993-06-01,210.6
1993-07-01,210.1
1993-08-01,211.4
1993-09-01,212.3
1993-10-01,212.6
1993-11-01,213.0
1993-12-01,214.0
1994-01-01,214.1
1994-02-01,214.3
1994-03-01,214.7
1994-04-01,215.6
1994-05-01,216.3
1994-06-01,215.9
1994-07-01,216.4
1994-08-01,220.0
1994-09-01,217.6
1994-10-01,217.8
1994-11-01,220.4
1994-12-01,219.7
1995-01-01,219.2
1995-02-01,219.4
1995-03-01,219.7
1995-04-01,219.3
1995-05-01,218.3
1995-06-01,220.2
1995-07-01,217.3
1995-08-01,218.0
1995-09-01,220.0
1995-10-01,220.4
1995-11-01,219.5
1995-12-01,220.2
1996-01-01,220.1
1996-02-01,220.5
1996-03-01,219.9
1996-04-01,220.8
1996-05-01,221.2
1996-06-01,221.8
1996-07-01,219.1
1996-08-01,221.6
1996-09-01,222.2
1996-10-01,222.5
1996-11-01,223.2
1996-12-01,221.3
1997-01-01,221.9
1997-02-01,221.8
1997-03-01,222.5
1997-04-01,223.4
1997-05-01,224.5
1997-06-01,224.1
1997-07-01,225.4
1997-08-01,225.8
1997-09-01,226.2
1997-10-01,226.3
1997-11-01,226.5
1997-12-01,227.1
1998-01-01,227.1
1998-02-01,227.7
1998-03-01,226.9
1998-04-01,227.5
1998-05-01,230.0
1998-06-01,228.0
1998-07-01,227.5
1998-08-01,227.9
1998-09-01,228.5
1998-10-01,229.0
1998-11-01,230.0
1998-12-01,230.2
1999-01-01,230.3
1999-02-01,230.4
1999-03-01,231.7
1999-04-01,231.8
1999-05-01,232.6
1999-06-01,232.8
1999-07-01,233.5
1999-08-01,233.5
1999-09-01,234.5
1999-10-01,235.1
1999-11-01,235.6
1999-12-01,236.5
2000-01-01,237.3
2000-02-01,238.3
2000-03-01,239.7
2000-04-01,239.4
2000-05-01,239.5
2000-06-01,237.5
2000-07-01,239.2
2000-08-01,240.4
2000-09-01,239.0
2000-10-01,240.4
2000-11-01,240.2
2000-12-01,241.6
2001-01-01,242.5
2001-02-01,243.4
2001-03-01,244.1
2001-04-01,244.5
2001-05-01,245.2
2001-06-01,245.2
2001-07-01,245.7
2001-08-01,247.2
2001-09-01,245.7
2001-10-01,246.4
2001-11-01,247.5
2001-12-01,247.6
2002-01-01,247.3
2002-02-01,247.5
2002-03-01,247.3
2002-04-01,247.5
2002-05-01,248.1
2002-06-01,247.8
2002-07-01,248.3
2002-08-01,247.9
2002-09-01,248.7
2002-10-01,248.2
2002-11-01,248.5
2002-12-01,248.4
2003-01-01,248.3
2003-02-01,247.8
2003-03-01,247.0
2003-04-01,248.1
2003-05-01,248.8
2003-06-01,250.0
2003-07-01,250.1
2003-08-01,251.4
2003-09-01,252.1
2003-10-01,253.0
2003-11-01,252.3
2003-12-01,252.6
2004-01-01,253.4
2004-02-01,253.4
2004-03-01,253.8
2004-04-01,255.3
2004-05-01,254.6
2004-06-01,255.6
2004-07-01,255.8
2004-08-01,256.2
2004-09-01,254.9
2004-10-01,256.3
2004-11-01,257.8
2004-12-01,258.2
2005-01-01,258.7
2005-02-01,259.6
2005-03-01,261.1
2005-04-01,261.7
2005-05-01,262.3
2005-06-01,262.3
2005-07-01,264.5
2005-08-01,265.8
2005-09-01,266.5
2005-10-01,267.4
2005-11-01,268.3
2005-12-01,269.2
2006-01-01,271.5
2006-02-01,272.7
2006-03-01,274.3
2006-04-01,275.5
2006-05-01,276.6
2006-06-01,277.9
2006-07-01,277.7
2006-08-01,279.1
2006-09-01,279.8
2006-10-01,280.1
2006-11-01,281.1
2006-12-01,283.9
2007-01-01,285.0
2007-02-01,286.0
2007-03-01,287.5
2007-04-01,287.1
2007-05-01,288.3
2007-06-01,288.9
2007-07-01,289.5
2007-08-01,290.0
2007-09-01,290.7
2007-10-01,291.9
2007-11-01,293.7
2007-12-01,294.9
2008-01-01,296.3
2008-02-01,297.1
2008-03-01,297.3
2008-04-01,297.5
2008-05-01,298.7
2008-06-01,298.9
2008-07-01,299.3
2008-08-01,299.2
2008-09-01,300.0
2008-10-01,300.8
2008-11-01,300.0
2008-12-01,298.6
2009-01-01,296.2
2009-02-01,294.0
2009-03-01,292.1
2009-04-01,289.2
2009-05-01,290.1
2009-06-01,286.5
2009-07-01,284.8
2009-08-01,283.6
2009-09-01,284.1
2009-10-01,282.1
2009-11-01,282.3
2009-12-01,281.5
2010-01-01,281.9
2010-02-01,282.2
2010-03-01,282.6
2010-04-01,284.3
2010-05-01,285.4
2010-06-01,285.0
2010-07-01,283.5
2010-08-01,284.7
2010-09-01,286.1
2010-10-01,286.7
2010-11-01,285.8
2010-12-01,285.5
2011-01-01,285.6
2011-02-01,286.0
2011-03-01,286.7
2011-04-01,287.3
2011-05-01,288.0
2011-06-01,288.6
2011-07-01,289.5
2011-08-01,291.3
2011-09-01,291.8
2011-10-01,291.6
2011-11-01,292.3
2011-12-01,292.7
2012-01-01,292.7
2012-02-01,293.1
2012-03-01,293.2
2012-04-01,294.5
2012-05-01,293.3
2012-06-01,292.2
2012-07-01,291.7
2012-08-01,292.1
2012-09-01,292.4
2012-10-01,292.4
2012-11-01,292.7
2012-12-01,293.2
2013-01-01,293.5
2013-02-01,292.9
2013-03-01,293.4
2013-04-01,293.7
2013-05-01,294.1
2013-06-01,294.9
2013-07-01,294.6
2013-08-01,294.6
2013-09-01,293.6
2013-10-01,294.1
2013-11-01,293.7
2013-12-01,294.6
2014-01-01,295.4
2014-02-01,295.8
2014-03-01,296.0
2014-04-01,297.0
2014-05-01,298.6
2014-06-01,299.9
2014-07-01,300.2
2014-08-01,299.0
2014-09-01,299.5
2014-10-01,300.3
2014-11-01,299.1
2014-12-01,300.1
2015-01-01,300.3
2015-02-01,299.9
2015-03-01,299.1
2015-04-01,298.6
2015-05-01,297.5
2015-06-01,296.2
2015-07-01,295.9
2015-08-01,296.1
2015-09-01,296.4
2015-10-01,295.2
2015-11-01,294.2
2015-12-01,293.1
2016-01-01,291.5
2016-02-01,290.1
2016-03-01,289.4
2016-04-01,288.1
2016-05-01,286.7
2016-06-01,285.8
2016-07-01,285.1
2016-08-01,284.2
2016-09-01,282.7
2016-10-01,282.8
2016-11-01,283.0
2016-12-01,282.0
2017-01-01,282.3
2017-02-01,282.6
2017-03-01,282.9
2017-04-01,282.9
2017-05-01,284.2
2017-06-01,284.1
2017-07-01,284.2
2017-08-01,284.6
2017-09-01,284.8
2017-10-01,283.4
2017-11-01,283.4
2017-12-01,283.6
2018-01-01,284.2
2018-02-01,283.6
2018-03-01,284.4
2018-04-01,285.0
2018-05-01,285.5
2018-06-01,285.4
2018-07-01,286.6
2018-08-01,286.6
2018-09-01,286.5
2018-10-01,287.3
2018-11-01,288.0
2018-12-01,288.3
2019-01-01,289.2
2019-02-01,290.2
2019-03-01,290.0
2019-04-01,289.7
2019-05-01,290.6
2019-06-01,290.7
2019-07-01,290.9
2019-08-01,291.7
2019-09-01,291.0
2019-10-01,292.0
2019-11-01,290.8
2019-12-01,290.9
2020-01-01,291.0
2020-02-01,289.8
2020-03-01,288.4
2020-04-01,263.2
2020-05-01,262.8
2020-06-01,264.0
2020-07-01,266.2
2020-08-01,270.0
2020-09-01,271.8
2020-10-01,272.2
2020-11-01,273.3
2020-12-01,275.2
2021-01-01,273.5
2021-02-01,275.0
2021-03-01,276.2
2021-04-01,276.6
2021-05-01,278.0
2021-06-01,278.5
2021-07-01,279.0
2021-08-01,279.5
2021-09-01,279.1
2021-10-01,280.3
2021-11-01,281.4
2021-12-01,282.0
2022-01-01,281.9
2022-02-01,283.0
2022-03-01,283.4
2022-04-01,284.3
2022-05-01,283.3
2022-06-01,283.5
2022-07-01,285.3
2022-08-01,285.5
2022-09-01,286.3
2022-10-01,286.4
2022-11-01,287.2
2022-12-01,287.8
2023-01-01,289.3
2023-02-01,289.6
2023-03-01,290.4
2023-04-01,290.5
2023-05-01,291.2
2023-06-01,291.8
2023-07-01,290.9
2023-08-01,291.4
2023-09-01,292.1
2023-10-01,292.2
2023-11-01,292.5
2023-12-01,292.9
2024-01-01,293.3
2024-02-01,293.6
2024-03-01,293.8
2024-04-01,293.6
2024-05-01,294.1
2024-06-01,294.1
2024-07-01,293.8
2024-08-01,295.4
2024-09-01,295.7
2024-10-01,295.3
2024-11-01,295.2
2024-12-01,295.0
2025-01-01,294.4
2025-02-01,294.8
2025-03-01,294.5
2025-04-01,294.8
2025-05-01,294.6
2025-06-01,294.0
2025-07-01,293.8
2025-08-01,293.4
2025-09-01,293.0
2025-10-01,293.5
2025-11-01,294.4
2025-12-01,293.8
2026-01-01,293.2
2026-02-01,294.3
2026-03-01,294.4
2026-04-01,294.6
2026-05-01,296.5
2026-06-01,295.0
2026-07-01,295.1
