outcome,control,treated,window,drop_covid,fe,coef,se,ci_lo,ci_hi,p,n_treated_states,n_control_states,n_obs
lemp_retail,strict,all,2022-07 start (baseline),False,twoway,-0.005568044326657365,0.0033374863326583785,-0.01230336442800187,0.0011672757746871423,0.1026888883309085,22,21,2107
lemp_retail,strict,all,2022-07 start (baseline),False,division x month,-0.0019080217292409603,0.004034785549918079,-0.010050548622326893,0.006234505163844972,0.6387379639299509,22,21,2107
lemp_retail,strict,all,2021-01 start (long),False,twoway,-0.006155103425383788,0.004463912702599601,-0.015163643973478878,0.0028534371227113007,0.17523812426010155,22,21,2881
lemp_retail,strict,all,2021-01 start (long),False,division x month,-0.0012427098178405165,0.005190514513247967,-0.011717592185239826,0.009232172549558791,0.8119449589524552,22,21,2881
lemp_retail,strict,all,2021-01 start (long),True,twoway,-0.0059379486238554414,0.004147903665850877,-0.014308757116962648,0.002432859869251765,0.15967133907534392,22,21,2623
lemp_retail,strict,all,2021-01 start (long),True,division x month,-0.0017888178601601407,0.004874869946554744,-0.0116267037029218,0.008049067982601518,0.715501094751877,22,21,2623
lemp_retail,strict,legislated,2022-07 start (baseline),False,twoway,-0.00930675006683144,0.0030211765795736868,-0.01549534974905471,-0.003118150384608172,0.004598528582381078,8,21,1421
lemp_retail,strict,legislated,2022-07 start (baseline),False,division x month,-0.007533750272866479,0.004144550217082456,-0.01603766488536125,0.0009701643396282907,0.0802160904195699,8,21,1421
lemp_retail,strict,legislated,2021-01 start (long),False,twoway,-0.009394948708071529,0.004073703208742096,-0.01773955145441304,-0.0010503459617300145,0.028713018353627717,8,21,1943
lemp_retail,strict,legislated,2021-01 start (long),False,division x month,-0.008306173442414532,0.00590647161672198,-0.020425252150329334,0.0038129052655002695,0.17104537789317642,8,21,1943
lemp_retail,strict,legislated,2021-01 start (long),True,twoway,-0.009918501725695512,0.003758413124466493,-0.017617262011669656,-0.0022197414397213686,0.013430386167095909,8,21,1769
lemp_retail,strict,legislated,2021-01 start (long),True,division x month,-0.00877963025905294,0.0054704049350807775,-0.02000397404235603,0.002444713524250148,0.12014331950065427,8,21,1769
lemp_retail,strict,indexed,2022-07 start (baseline),False,twoway,-0.0034316410465578973,0.003861917281072647,-0.011280001236456998,0.004416719143341203,0.3804698967275195,14,21,1715
lemp_retail,strict,indexed,2022-07 start (baseline),False,division x month,0.0013125797312081822,0.0051716511280673364,-0.009209223601915941,0.011834383064332306,0.8012225815708303,14,21,1715
lemp_retail,strict,indexed,2021-01 start (long),False,twoway,-0.004303763263847961,0.005374548403268999,-0.015226159746453699,0.006618633218757776,0.42882672997934157,14,21,2345
lemp_retail,strict,indexed,2021-01 start (long),False,division x month,0.0029192958867788744,0.006414901991135045,-0.010131920345823595,0.015970512119381344,0.6520313992245694,14,21,2345
lemp_retail,strict,indexed,2021-01 start (long),True,twoway,-0.0036633468513754043,0.004952256735812997,-0.013727543411463056,0.006400849708712249,0.4645394357575432,14,21,2135
lemp_retail,strict,indexed,2021-01 start (long),True,division x month,0.0020099564083384002,0.006062188136092095,-0.010323658090556858,0.014343570907233658,0.7423208500522973,14,21,2135
lemp_retail,broad,all,2022-07 start (baseline),False,twoway,-0.00585612755837508,0.0031781424017129464,-0.012261252701752177,0.000548997585002018,0.07212781225671172,22,23,2205
lemp_retail,broad,all,2022-07 start (baseline),False,division x month,-0.0022735155016141823,0.0037251106520284107,-0.009780982720927306,0.0052339517176989425,0.5447884338299249,22,23,2205
lemp_retail,broad,all,2021-01 start (long),False,twoway,-0.006501175736025165,0.004375884289581168,-0.015320191042764934,0.0023178395707146053,0.14449341301280572,22,23,3015
lemp_retail,broad,all,2021-01 start (long),False,division x month,-0.001788339346695542,0.004977945382243235,-0.011820729057420622,0.008244050364029538,0.7211245769743677,22,23,3015
lemp_retail,broad,all,2021-01 start (long),True,twoway,-0.0062895205248847934,0.004022461574344549,-0.01439625915126481,0.0018172181014952226,0.12507616216882367,22,23,2745
lemp_retail,broad,all,2021-01 start (long),True,division x month,-0.00230609135782543,0.004618748406403621,-0.011614567130605094,0.007002384414954233,0.6200630821749593,22,23,2745
lemp_retail,broad,legislated,2022-07 start (baseline),False,twoway,-0.009594833298549148,0.0028372023612468164,-0.015389173533876355,-0.0038004930632219392,0.00201789516558204,8,23,1519
lemp_retail,broad,legislated,2022-07 start (baseline),False,division x month,-0.006929735420254201,0.003878447656171167,-0.01486205153211558,0.001002580691607179,0.0844401346008754,8,23,1519
lemp_retail,broad,legislated,2021-01 start (long),False,twoway,-0.00974102101871287,0.003970821483920649,-0.017850520364213224,-0.001631521673212519,0.020190445243437605,8,23,2077
lemp_retail,broad,legislated,2021-01 start (long),False,division x month,-0.006833519042017684,0.005635494026838022,-0.0183593984737686,0.004692360389733233,0.23507436531454085,8,23,2077
lemp_retail,broad,legislated,2021-01 start (long),True,twoway,-0.010270073626724871,0.0036127004628152774,-0.017648192274799246,-0.0028919549786504944,0.007971251425717751,8,23,1891
lemp_retail,broad,legislated,2021-01 start (long),True,division x month,-0.007642422660298112,0.005196300162172278,-0.01827004978139183,0.0029852044607956074,0.1521287137299756,8,23,1891
lemp_retail,broad,indexed,2022-07 start (baseline),False,twoway,-0.0037197242782756024,0.003720529362688117,-0.011265307559214992,0.003825859002663787,0.32408831966015184,14,23,1813
lemp_retail,broad,indexed,2022-07 start (baseline),False,division x month,0.00023941410192929828,0.004782642669505367,-0.009469866699421934,0.009948694903280531,0.9603600001914314,14,23,1813
lemp_retail,broad,indexed,2021-01 start (long),False,twoway,-0.004649835574489336,0.0052962987658829765,-0.015391227328976765,0.0060915561799980925,0.38579791715822753,14,23,2479
lemp_retail,broad,indexed,2021-01 start (long),False,division x month,0.0008580709734535227,0.006322670525986795,-0.011977632589067037,0.013693774535974083,0.8928254304731191,14,23,2479
lemp_retail,broad,indexed,2021-01 start (long),True,twoway,-0.004014918752404731,0.004842384300063479,-0.013835729301805391,0.005805891796995931,0.412500279276816,14,23,2257
lemp_retail,broad,indexed,2021-01 start (long),True,division x month,0.00027708530774686266,0.005854243387531401,-0.011607660607187783,0.012161831222681508,0.9625187255733261,14,23,2257
lemp_retail,border,all,2022-07 start (baseline),False,twoway,-0.004221080622102383,0.0034404232481379726,-0.01117999348719444,0.0027378322429896743,0.22721278204144824,22,18,1960
lemp_retail,border,all,2022-07 start (baseline),False,division x month,0.000326691480389887,0.003837513619408521,-0.007435412473105134,0.008088795433884908,0.932592755267887,22,18,1960
lemp_retail,border,all,2021-01 start (long),False,twoway,-0.003192545255968244,0.004420370330529231,-0.012133588186729615,0.005748497674793126,0.47445876102509565,22,18,2680
lemp_retail,border,all,2021-01 start (long),False,division x month,0.0027314770239742748,0.005008430541183747,-0.007399029955312889,0.01286198400326144,0.588600853437595,22,18,2680
lemp_retail,border,all,2021-01 start (long),True,twoway,-0.003725425617087409,0.0041156360379504325,-0.012050085261225817,0.004599234027051,0.3709239014377912,22,18,2440
lemp_retail,border,all,2021-01 start (long),True,division x month,0.0016086737524374363,0.004735625397649954,-0.0079700327400846,0.011187380244959473,0.7359080288293196,22,18,2440
lemp_retail,border,legislated,2022-07 start (baseline),False,twoway,-0.00795978636227645,0.0031431844064794953,-0.014433295825833959,-0.0014862768987189403,0.017982725793556753,8,18,1274
lemp_retail,border,legislated,2022-07 start (baseline),False,division x month,-0.00376493500118782,0.003927959792481646,-0.011871845567023408,0.004341975564647769,0.3473695718075944,8,18,1274
lemp_retail,border,legislated,2021-01 start (long),False,twoway,-0.006432390538655951,0.004032567991965328,-0.014737619784707492,0.00187283870739559,0.12325306056804886,8,18,1742
lemp_retail,border,legislated,2021-01 start (long),False,division x month,-0.0002813670709074842,0.005488829504264396,-0.011609754389780241,0.011047020247965273,0.9595412082579591,8,18,1742
lemp_retail,border,legislated,2021-01 start (long),True,twoway,-0.007705978718927482,0.0037289867754324558,-0.015385970745637825,-2.5986692217139055e-05,0.049286860778599895,8,18,1586
lemp_retail,border,legislated,2021-01 start (long),True,division x month,-0.002289252961829071,0.005179820808834679,-0.012979877678673883,0.00840137175501574,0.6624778821420936,8,18,1586
lemp_retail,border,indexed,2022-07 start (baseline),False,twoway,-0.002084677342002916,0.003957695707566873,-0.0101564509543309,0.005987096270325069,0.602123147866275,14,18,1568
lemp_retail,border,indexed,2022-07 start (baseline),False,division x month,0.0021336929978050894,0.005010526607969994,-0.008099167485216502,0.012366553480826681,0.6732626432215851,14,18,1568
lemp_retail,border,indexed,2021-01 start (long),False,twoway,-0.0013412050944324092,0.0053461800252675535,-0.012244811142821475,0.009562400953956655,0.8035687386644743,14,18,2144
lemp_retail,border,indexed,2021-01 start (long),False,division x month,0.0033472482516831606,0.006672509067516522,-0.01027983323132609,0.01697432973469241,0.6195771500720193,14,18,2144
lemp_retail,border,indexed,2021-01 start (long),True,twoway,-0.0014508238446073716,0.004932361554948681,-0.011510441558413903,0.008608793869199159,0.7706085742738107,14,18,1952
lemp_retail,border,indexed,2021-01 start (long),True,division x month,0.0027393275059587473,0.0062509724332528655,-0.01002686131957191,0.015505516331489404,0.6643631942979207,14,18,1952
lemp_leisure_hosp,strict,all,2022-07 start (baseline),False,twoway,0.0020266251205263014,0.003739875077867012,-0.0055207483449438224,0.009573998585996425,0.5907533570107546,22,21,2107
lemp_leisure_hosp,strict,all,2022-07 start (baseline),False,division x month,0.003853227444052781,0.005353874166710497,-0.00695132805097802,0.014657782939083583,0.47569072425285763,22,21,2107
